sample	plasmid
cluster4	cpe003_contig_3
cluster2	cpe003_contig_4
cluster4	cpe004_2
cluster2	cpe004_3
cluster11	cpe006_contig_2
cluster11	cpe008_2
cluster16	cpe009_contig_3
cluster18	cpe010_3
cluster25	cpe011_2
cluster27	cpe012_contig_3
cluster32	cpe013_3
cluster32	cpe014_contig_5
cluster18	cpe020_2
cluster4	cpe022_contig_2
cluster2	cpe022_contig_3
cluster52	cpe023_contig_2
cluster53	cpe023_contig_3
cluster55	cpe024_contig_2
cluster56	cpe024_contig_3
cluster67	cpe027_2
cluster69	cpe027_4
cluster73	cpe028_contig_2
cluster16	cpe028_contig_4
cluster73	cpe029_contig_3
cluster16	cpe029_contig_5
cluster4	cpe034_2
cluster1	cpe034_3
cluster2	cpe034_4
cluster4	cpe035_contig_1
cluster1	cpe035_contig_3
cluster2	cpe035_contig_9
cluster91	cpe041_contig_1
cluster93	cpe041_contig_4
cluster9	cpe042_2
cluster25	cpe045_3
cluster67	cpe047_3
cluster110	cpe047_4
cluster111	cpe047_5
cluster69	cpe047_6
cluster91	cpe051_contig_2
cluster93	cpe051_contig_3
cluster120	cpe052_2
cluster69	cpe052_3
cluster123	cpe055_2
cluster4	cpe058_contig_2
cluster2	cpe058_contig_3
cluster4	cpe059_contig_1
cluster2	cpe059_contig_3
cluster67	cpe060_2
cluster110	cpe060_3
cluster69	cpe060_5
cluster4	cpe061_contig_2
cluster2	cpe061_contig_3
cluster93	cpe067_4
cluster16	cpe068_contig_3
cluster27	cpe069_contig_2
cluster135	cpe070_2
cluster27	cpe070_3
cluster136	cpe070_4
cluster27	cpe072_2
cluster135	cpe073_2
cluster27	cpe073_3
cluster136	cpe073_4
cluster123	cpe077_2
cluster25	cpe080_contig_3
cluster56	cpe081_2
cluster55	cpe081_3
cluster93	cpe083_4
cluster120	cpe085_2
cluster69	cpe085_3
cluster69	cpe086_contig_4
cluster111	cpe086_contig_5
cluster52	cpe087_contig_2
cluster53	cpe087_contig_3
cluster9	cpe090_contig_2
cluster69	cpe092_contig_1
cluster55	cpe092_contig_6
cluster4	cpe097_contig_3
cluster91	cpe098_contig_2
cluster93	cpe098_contig_3
cluster55	cpe099_3
cluster93	cpe099_4
cluster187	cpe102_contig_3
cluster93	cpe102_contig_5
cluster93	cpe104_2
cluster187	cpe105_contig_3
cluster93	cpe105_contig_4
cluster9	icp157_2
