id 	organism
OY754379.1	Escherichia coli
NZ_CP136249.1	Klebsiella pneumoniae
NZ_OM506550.1	Citrobacter freundii
NZ_CP135499.1	Enterobacter cloacae
NZ_CP104529.1	Escherichia coli
NZ_CP134806.1	Escherichia coli
NZ_OM144975.1	Klebsiella pneumoniae
NZ_OQ423470.1	Escherichia coli
NZ_OQ534114.1	Escherichia coli
NZ_CP103064.1	Klebsiella pneumoniae
NZ_CP132962.1	Klebsiella pneumoniae
NZ_CP130158.1	Escherichia albertii
NZ_CP115321.1	Escherichia coli
NZ_CP097388.1	Klebsiella pneumoniae
NZ_CP047672.1	Edwardsiella piscicida
CP133155.1	Klebsiella variicola
NZ_CP132948.1	Klebsiella pneumoniae
NZ_CP132626.1	Klebsiella pneumoniae
NZ_CP132690.1	Klebsiella pneumoniae
NZ_CP102062.1	Escherichia coli
NZ_CP099894.1	Escherichia albertii
NZ_CP099893.1	Escherichia albertii
NZ_CP132050.1	Klebsiella pneumoniae
NZ_CP090835.1	Klebsiella pneumoniae
NZ_CP107166.1	Escherichia coli
NZ_CP026212.1	Citrobacter sp. CFNIH10
NZ_CP092275.1	Klebsiella pneumoniae
NZ_CP129720.1	Klebsiella pneumoniae
NZ_CP129692.1	Klebsiella pneumoniae
NZ_CP129792.1	Klebsiella pneumoniae
NZ_CP129810.1	Klebsiella pneumoniae
NZ_CP129716.1	Klebsiella pneumoniae
NZ_CP129274.1	Escherichia coli
NZ_CP048417.1	Citrobacter freundii
NZ_CP099775.1	Shigella sonnei
NZ_CP128589.1	Escherichia coli
NZ_MZ726787.1	Raoultella ornithinolytica
NZ_OW849855.1	Salmonella enterica
CP128786.1	Klebsiella pneumoniae
NZ_CP117369.1	Salmonella enterica
NZ_CP127311.1	Escherichia coli
NZ_OQ658823.1	Salmonella enterica subsp. enterica serovar Typhimurium var. monophasic 4,[5],12:i:-
NZ_CP069660.1	Escherichia coli
NZ_CP071438.1	Escherichia coli
NZ_LR890314.1	Klebsiella oxytoca
NZ_LR883011.1	Escherichia coli
NZ_LR883002.1	Escherichia coli
NZ_MT586608.1	Escherichia coli
NZ_CP061532.1	Escherichia coli
NZ_CP047407.1	Escherichia coli
NZ_CP043408.1	Escherichia coli
NZ_CP038422.1	Escherichia coli
NZ_CP038352.1	Escherichia coli
NZ_OW968125.1	Escherichia coli
NZ_CP098146.1	Klebsiella pneumoniae
NZ_CP098193.1	Escherichia coli
NZ_CP046717.1	Escherichia coli
NZ_MF174860.1	Escherichia coli
NZ_CP041428.1	Escherichia coli
NZ_CP045828.1	Escherichia coli
NZ_CP122509.1	Escherichia coli
NZ_CP040885.1	Escherichia coli
NZ_CP122709.1	Escherichia coli
NZ_CP097687.1	Klebsiella pneumoniae
NZ_CP097678.1	Klebsiella pneumoniae
NZ_CP028634.1	Escherichia coli
NZ_CP035468.1	Escherichia coli
NZ_CP045151.1	Yersinia pestis
NC_014022.1	Yersinia pestis Z176003
NZ_CP120323.1	Salmonella enterica
NZ_CP075063.1	Escherichia coli
NZ_CP021847.1	Escherichia coli
NZ_CP020118.1	Escherichia coli
NZ_CP093466.1	Klebsiella pneumoniae
NZ_CP010153.1	Escherichia coli
NZ_CP124401.1	Escherichia coli
NZ_CP122927.1	Escherichia coli
NZ_CP122637.1	Escherichia coli
CP122919.1	Escherichia coli
NZ_AP023435.1	Escherichia coli
NZ_CP087635.1	Klebsiella pneumoniae
NZ_CP087619.1	Klebsiella pneumoniae
NZ_CP087653.1	Klebsiella pneumoniae
NZ_CP095667.1	Klebsiella quasipneumoniae
NZ_CP095641.1	Klebsiella pneumoniae
NZ_CP095613.1	Klebsiella pneumoniae
NZ_CP124344.1	Escherichia coli
NZ_MT759837.1	Cronobacter sakazakii
NZ_CP109930.1	Escherichia coli
NZ_MZ475696.1	Klebsiella pneumoniae
NZ_HG970001.1	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91
NC_004836.1	Yersinia pestis
NZ_CP049117.1	Pantoea stewartii
NZ_CP009860.1	Escherichia coli
NC_013655.1	Escherichia coli SE15
NC_011603.1	Escherichia coli O127:H6 str. E2348/69
NZ_CP087144.1	Klebsiella pneumoniae
NZ_CP099307.1	Klebsiella michiganensis
CP098997.1	Escherichia coli
CP099214.1	Escherichia coli
NZ_CP086425.1	Klebsiella pneumoniae
NZ_CP086442.1	Klebsiella pneumoniae
NZ_CP121140.1	Klebsiella pneumoniae
NZ_CP119728.1	Escherichia coli
AP027447.1	Escherichia coli
NZ_CP103681.1	Enterobacter hormaechei
NZ_CP102502.1	Citrobacter youngae
NZ_CP088902.1	Salmonella enterica
NZ_CP088124.1	Klebsiella pneumoniae
NZ_CP060975.1	Escherichia coli
NZ_CP060925.1	Escherichia coli
NZ_CP092408.1	Klebsiella quasipneumoniae
NZ_AP022816.1	Escherichia coli
NZ_CP027145.1	Enterobacter hormaechei
NZ_CP056698.1	Escherichia marmotae
NZ_CP051377.1	Salmonella enterica
NZ_CP056748.1	Enterobacter hormaechei
NZ_CP050380.1	Klebsiella pneumoniae
NZ_CP050367.1	Klebsiella pneumoniae
NZ_CP092649.1	Klebsiella pneumoniae
NZ_CP058715.1	Escherichia coli
CP119184.1	Klebsiella pneumoniae
NZ_AP017612.1	Escherichia coli
NZ_CP058848.1	Shigella flexneri
NZ_CP058744.1	Klebsiella pneumoniae
NZ_CP056428.1	Klebsiella pneumoniae
NZ_CP058169.1	Enterobacter hormaechei
NZ_CP058161.1	Enterobacter hormaechei
NZ_CP090213.1	Escherichia coli
NZ_CP107061.1	Escherichia coli
NZ_OP378618.1	Escherichia coli
NZ_OP378607.1	Escherichia coli
NZ_OP242267.1	Escherichia coli
NZ_CP029859.1	Salmonella enterica
NZ_CP017779.1	Klebsiella pneumoniae
NZ_CP026800.1	Shigella flexneri
NC_019234.1	Yersinia enterocolitica
NZ_CP116930.1	Escherichia coli
NZ_CP116920.1	Escherichia coli
NZ_MT039213.1	Serratia proteamaculans
NZ_KU665642.1	Klebsiella pneumoniae
NZ_KT879914.1	Escherichia coli
NZ_KR822246.1	Enterobacter hormaechei
NZ_KJ958926.1	Klebsiella pneumoniae
NZ_CP025921.1	Escherichia coli
NZ_CP018653.1	Salmonella enterica
NZ_CP015246.1	Escherichia coli O91 str. RM7190
NZ_CP017178.1	Salmonella enterica
NZ_CP012571.1	Klebsiella pneumoniae
NZ_CP012570.1	Klebsiella pneumoniae
NZ_CP017929.1	Klebsiella oxytoca
NZ_CP015823.1	Klebsiella pneumoniae
NZ_CP107395.1	Klebsiella pneumoniae
NZ_CP115838.1	Klebsiella pneumoniae
NZ_CP116069.1	Escherichia coli
NZ_CP116137.1	Escherichia coli
NZ_CP115715.1	Klebsiella pneumoniae
NZ_CP098382.1	Klebsiella pneumoniae
NZ_LS992184.1	Citrobacter freundii
NZ_CP089037.1	Escherichia coli
NZ_CP089028.1	Klebsiella pneumoniae
NZ_LN890519.1	Salmonella enterica
NZ_CP114133.1	Escherichia coli
CP094369.1	Klebsiella pneumoniae
NZ_CP070178.1	Klebsiella pneumoniae
NZ_CP084988.1	Klebsiella pneumoniae
NZ_CP082899.1	Klebsiella aerogenes
NZ_CP073785.1	Klebsiella pneumoniae
NZ_CP079600.1	Klebsiella pneumoniae
NZ_CP079133.1	Klebsiella pneumoniae
NZ_MT269826.1	Klebsiella pneumoniae
NZ_CP061406.1	Klebsiella pneumoniae
NZ_CP061398.1	Klebsiella pneumoniae
NZ_CP049720.1	Klebsiella pneumoniae
NZ_CP042883.1	Klebsiella pneumoniae
NZ_MK036888.1	Klebsiella pneumoniae
NZ_MK158080.1	Klebsiella pneumoniae
NZ_CP024642.1	Klebsiella michiganensis
NZ_CP033823.1	Klebsiella sp. FDAARGOS_511
NZ_CP027425.1	Klebsiella oxytoca
NZ_CP026049.1	Raoultella planticola
NZ_MW245022.1	Klebsiella pneumoniae
NZ_CP071387.1	Klebsiella pneumoniae
NZ_CP047337.1	Klebsiella pneumoniae
NZ_CP030306.1	Klebsiella pneumoniae
NZ_MF042350.1	Klebsiella pneumoniae
NZ_CP109678.1	Enterobacter cloacae
NZ_CP032212.1	Klebsiella pneumoniae
NZ_CP060170.1	Salmonella enterica
NZ_CP053866.1	Salmonella enterica
NZ_CP022071.1	Salmonella enterica
NZ_CP012258.1	Cronobacter universalis NCTC 9529
NZ_CP064220.1	Klebsiella pneumoniae
NZ_CP063929.1	Klebsiella pneumoniae
NZ_CP050357.1	Klebsiella pneumoniae
NZ_CP050351.1	Klebsiella pneumoniae
NZ_AP022113.1	Klebsiella quasipneumoniae
NZ_CP049605.1	Klebsiella pneumoniae
NZ_CP032176.1	Klebsiella pneumoniae
NZ_CP030342.1	Klebsiella pneumoniae
NZ_CP023723.1	Klebsiella pneumoniae
NZ_CP025006.1	Klebsiella pneumoniae
NZ_CP024840.1	Klebsiella pneumoniae
NZ_CP021959.1	Klebsiella pneumoniae
NZ_CP020904.1	Klebsiella pneumoniae
NZ_CP020065.1	Klebsiella pneumoniae
NZ_CP076246.1	Escherichia coli
NZ_CP076231.1	Escherichia coli
NZ_CP093316.1	Klebsiella pneumoniae
NZ_CP084002.1	Salmonella sp. A7
NZ_CP083878.1	Escherichia coli
NZ_CP044100.1	Citrobacter werkmanii
NZ_CP081692.1	Escherichia coli
AP026740.1	Escherichia coli
NZ_CP103500.1	Klebsiella pneumoniae
NZ_CP103677.1	Klebsiella pneumoniae
NZ_CP103719.1	Escherichia coli
CP103666.1	Klebsiella aerogenes
NZ_CP030006.1	Salmonella enterica
NZ_CP102676.1	Escherichia coli
NZ_CP074032.1	Escherichia coli
CP102219.1	Shigella flexneri
CP101955.1	Escherichia coli
CP101562.1	Klebsiella pneumoniae
CP100015.1	Escherichia coli
CP100008.1	Escherichia coli
NZ_MN256759.1	Escherichia coli
NZ_CP026940.2	Escherichia coli
NZ_MN007141.1	Escherichia coli
NZ_MK295832.1	Escherichia coli O25b:H4-ST131
NZ_AP023200.1	Escherichia coli
NZ_CP038332.1	Escherichia coli
NZ_CP051695.1	Escherichia coli
NZ_AP019763.1	Escherichia coli
NZ_OW970487.1	Klebsiella pneumoniae
NZ_CP028689.1	Escherichia coli
NZ_CP027200.1	Escherichia coli
OW969877.1	Citrobacter freundii
OW969835.1	Klebsiella pneumoniae
OW969769.1	Klebsiella pneumoniae
OW969763.1	Klebsiella pneumoniae
OW968454.1	Klebsiella pneumoniae
OW968365.1	Klebsiella pneumoniae
OW968354.1	Klebsiella pneumoniae
OW968020.1	Enterobacter cloacae
OW967890.1	Klebsiella pneumoniae
OW967862.1	Klebsiella pneumoniae
OW967760.1	Klebsiella pneumoniae
OW967038.1	Klebsiella pneumoniae
CP097405.1	Klebsiella pneumoniae
CP097396.1	Klebsiella pneumoniae
NZ_CP024823.1	Escherichia coli
OW849221.1	Klebsiella pneumoniae
OW849204.1	Enterobacter cloacae
NZ_CP017633.1	Escherichia coli
NZ_CP097182.1	Escherichia coli
CP056599.1	Escherichia coli
CP056498.1	Klebsiella oxytoca
CP057958.1	Escherichia coli
CP057697.1	Escherichia coli
CP057604.1	Escherichia coli
CP057560.1	Escherichia coli
CP057448.1	Escherichia coli
CP057155.1	Escherichia coli
CP067892.1	Klebsiella pneumoniae
CP067819.1	Klebsiella pneumoniae
CP067546.1	Klebsiella pneumoniae
CP067517.1	Klebsiella pneumoniae
CP067481.1	Klebsiella pneumoniae
CP067064.1	Enterobacter hormaechei
CP091385.1	Escherichia coli
CP088848.1	Escherichia coli
CP088853.1	Escherichia coli
CP088838.1	Escherichia coli
CP088682.1	Escherichia coli
CP088638.1	Escherichia coli
CP088475.1	Escherichia coli
CP088386.1	Escherichia coli
CP088033.1	Escherichia coli
CP052781.1	Salmonella enterica
CP063715.1	Escherichia coli
CP049152.1	Cronobacter sakazakii
LC553464.1	Escherichia coli
CP074315.1	Salmonella enterica subsp. enterica serovar Javiana str. CFSAN001992
LC521844.1	Escherichia coli
LC613142.1	Escherichia coli
CP071170.1	Klebsiella pneumoniae
CP048868.1	Escherichia coli
AP022439.1	Raoultella planticola
CP060660.1	Citrobacter freundii
CP033467.1	Enterobacter cloacae
CP058799.1	Klebsiella pneumoniae
CP052243.1	Klebsiella pneumoniae
MN657243.1	Enterobacteriaceae bacterium
CP006657.1	Klebsiella pneumoniae JM45
CP044386.1	Klebsiella pneumoniae
CP044049.1	Klebsiella variicola
CP037444.1	Klebsiella sp. PO552
CP019709.1	Yersinia pestis
AP014954.1	Klebsiella oxytoca
