sample_id	size	gc	md5	organism	taxid	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	primary_cluster_id	primary_dist	secondary_cluster_id	secondary_dist
cpe003_contig_3	303342	0.4681679424543914	1e04bed981a147b97bbb4d130c34a1da	Enterobacteriaceae	543	IncFIB,IncHI1B,rep_cluster_1254	CP024497_00001,JN420336,000562__KT346360_00001	MOBH	NC_016980_00239	MPF_F	NC_016980_00240,NC_018107_00101,NC_016980_00110,NC_016980_00109,NC_018107_00235,NC_023911_00309,NC_016980_00099	-	-	conjugative	AA042	0.06	AA146	0.025
cpe003_contig_4	79288	0.5249974775501968	2f803ccdb153e7230463b136152b4acd	Enterobacteriaceae	543	IncFII,rep_cluster_1418	CP000966,000759__NC_013950_00034	MOBF,MOBF	CP035180_00077,NC_021231_00058	MPF_F	NC_014312_00116,NC_014312_00118,NC_023332_00154,NC_019389_00068,NC_014312_00128,NC_022609_00081,NC_019389_00080,NC_021654_00016,NC_019165_00034,NC_019155_00032,NC_021502_00150,NC_021502_00131	-	-	conjugative	AA019	0.06	AA106	0.025
cpe004_2	273734	0.4648892720670431	de9b1e8e526ea29d7aab3d8bad7ada7f	Enterobacteriaceae	543	IncFIB,IncHI1B,rep_cluster_1254	CP024497_00001,JN420336,000562__KT346360_00001	MOBH	NC_016980_00239	MPF_F	NC_016980_00240,NC_018107_00101,NC_016980_00110,NC_016980_00109,NC_018107_00235,NC_023911_00309,NC_016980_00099	-	-	conjugative	AA042	0.06	AA146	0.025
cpe004_3	79295	0.5250015763919541	802505b44382883ac46a02f3ce2c2f34	Enterobacteriaceae	543	IncFII,rep_cluster_1418	CP000966,000759__NC_013950_00034	MOBF,MOBF	CP035180_00077,NC_021231_00058	MPF_F	NC_014312_00116,NC_014312_00118,NC_023332_00154,NC_019389_00068,NC_014312_00128,NC_022609_00081,NC_019389_00080,NC_021654_00016,NC_019165_00034,NC_019155_00032,NC_021502_00131,NC_021502_00150	-	-	conjugative	AA019	0.06	AA106	0.025
cpe005_contig_2	307092	0.56565784846235	a7f1539e82e0d2cb2ec7f8ad96f0135a	Enterobacteriaceae	543	rep_cluster_402	001724__KU254577	-	-	MPF_F	NC_022739_00358,NC_022739_00359,NC_022739_00360	-	-	non-mobilizable	AA060	0.06	AA169	0.025
cpe006_contig_2	38831	0.606165177306791	45c9f263a5f44b8119fc451e704b8b33	Enterobacteriaceae	543	rep_cluster_688	002152__NC_019906_00045	MOBF	NC_019906_00069	MPF_T	NC_019906_00068	-	-	conjugative	AA062	0.06	AA171	0.025
cpe007_contig_3	23792	0.5606506388702085	26f3a4f09761562845aedc595ec9aba1	Enterobacteriaceae	543	-	-	-	-	-	-	-	-	non-mobilizable	AA004	0.06	AA087	0.025
cpe008_2	38833	0.6061597095254037	e21d5e5a53ac865a30f8689fadac9791	Enterobacteriaceae	543	rep_cluster_688	002152__NC_019906_00045	MOBF	NC_019906_00069	MPF_T	NC_019906_00068	-	-	conjugative	AA062	0.06	AA171	0.025
cpe008_3	15628	0.5611082672126951	c20e6a25c5dff5117a22ea799af66f69	Enterobacteriaceae	543	-	-	-	-	-	-	-	-	non-mobilizable	AA002	0.06	AA085	0.025
cpe009_contig_2	18591	0.5515034156312194	0262b0edffe0f5b281c5206fe086e3fa	Enterobacteriaceae	543	ColRNAI_rep_cluster_1857	000003__NC_002119_00001	MOBC	NC_009793_00003	-	-	-	-	mobilizable	AA050	0.06	AA158	0.025
cpe009_contig_3	63589	0.5122112315023039	185b68f57f0e070d7e2991f2557207f4	Enterobacteriaceae	543	IncL/M	JN626286	MOBP	NC_004464_00056	MPF_I	NC_004464_00105,NC_005246_00057,NC_019063_00094,NC_019344_00078,NC_004464_00066,NC_004464_00068,NC_019154_00069,NC_005246_00069,NC_004464_00073	-	-	conjugative	AA064	0.06	AA173	0.025
cpe010_2	197094	0.4461272286320233	483b67ac39ebfd561a1d8085329ef22d	Enterobacteriaceae	543	IncFIB,IncHI1B	CP024497_00001,JN420336	MOBH	NC_016980_00239	MPF_F	NC_016980_00240,NC_018107_00101,NC_016980_00110,NC_016980_00109,NC_018107_00235,NC_023911_00309,NC_016980_00099	-	-	conjugative	AA042	0.06	AA146	0.025
cpe010_3	173818	0.5241229331829845	3f480834c4aff365d21555417cdb25cb	Enterobacteriaceae	543	IncC	000092__CP025470	MOBH,MOBH	NC_012885_00072,NC_012690_00071	MPF_F	NC_009140_00071,NC_014170_00023,NC_012885_00083,NC_016974_00085,NC_012885_00091,NC_023291_00077,NC_012885_00167,NC_008612_00190,NC_012885_00088	MOBH	AB040037	conjugative	AA001	0.06	AA084	0.025
cpe010_4	131842	0.5176574991277438	e8ff66c5bf4dd43e1043a6d451e44627	Enterobacteriaceae	543	IncFIB	000107__CP014778_00094	-	-	-	-	-	-	non-mobilizable	AA024	0.06	AA114	0.025
cpe010_5	114374	0.521254830643328	927c9075caaed8717116e2d79b281df0	Enterobacteriaceae	543	IncFII,IncR,rep_cluster_2183	000128__CP023916,000204__CP008701_00115,CP017721_00179	MOBF,MOBF	CP035180_00077,NC_021231_00058	MPF_F	NC_014312_00116,NC_014312_00118,NC_023332_00154,NC_019389_00068,NC_014312_00128,NC_022609_00081,NC_019389_00080,NC_021654_00016,NC_019165_00034,NC_014312_00141,NC_021502_00131,NC_021502_00150	-	-	conjugative	AA019	0.06	AA107	0.025
cpe010_6	10046	0.5495719689428629	1e49b0133e2b52d308425018b6824292	Enterobacteriaceae	543	ColRNAI_rep_cluster_1857	000003__NC_002119_00001	MOBC	NC_009793_00003	-	-	-	-	mobilizable	AA051	0.06	AA159	0.025
cpe010_7	6171	0.4362339977313239	692fa1d50ef7be921179c2fe70360e10	Enterobacteriaceae	543	ColRNAI_rep_cluster_1987	CP041116_00002	-	-	-	-	-	-	non-mobilizable	AA011	0.06	AA095	0.025
cpe011_2	8731	0.3437177871950521	057121fe82548bb02ae41f2dd9a1c99e	Enterobacteriaceae	543	rep_cluster_1172	000454__KY202458_00008	-	-	-	-	-	-	non-mobilizable	AA058	0.06	AA166	0.025
cpe012_contig_2	130631	0.514372545567285	6e7325e5c0a4882fd7089dcf6ed049b1	Enterobacteriaceae	543	IncFIA,IncFIB,IncFII,IncQ1	000136__AP014877_00014,000095__NZ_CP014273_00094,KF954760,000195__NC_013728_00014	MOBF	NC_017627_00068	MPF_F	NC_007675_00027,NC_017639_00100,NC_008460_00097,NC_019094_00068,NC_008460_00107,08-5333_00200	-	-	conjugative	AA037	0.06	AA138	0.025
cpe012_contig_3	140094	0.5197795765700173	d91ae5ee81483c62ef9d98b465760f4a	Enterobacteriaceae	543	IncC	000092__CP025470	MOBH,MOBH	NC_012690_00071,NC_012885_00072	MPF_F	NC_023291_00077,NC_012885_00091,NC_016974_00085,NC_012885_00083,NC_014170_00023,NC_009140_00071,NC_012885_00167,NC_012885_00088	MOBH	HG428760	conjugative	AA001	0.06	AA084	0.025
cpe012_contig_4	6087	0.4480039428289798	c8c26a4f3b5cc753e671805aeb462f75	Enterobacteriaceae	543	rep_cluster_2335	EF088686_00008	-	-	-	-	MOBP	HQ328804	mobilizable	AA014	0.06	AA098	0.025
cpe013_2	177811	0.5170152577737035	ddf091f207ab6ec8b6638f7660236466	Enterobacteriaceae	543	IncFIB,IncFII	000107__CP014778_00094,000124__KP125893_00142	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_014312_00141,NC_019165_00034,NC_021654_00016,NC_011281_00082,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	AA024	0.06	AA114	0.025
cpe013_3	118064	0.5268498441523242	88c3d823cdcefd80d183d1be6126f102	Enterobacteriaceae	543	IncFIB,IncFII	000097__NC_025166_00051,000129__CP018340	MOBF,MOBF	CP035180_00077,NC_021231_00058	MPF_F	NC_014312_00116,NC_014312_00118,NC_023332_00154,NC_019389_00068,NC_014312_00128,NC_022609_00081,NC_019389_00080,NC_021654_00016,NC_019165_00034,NC_019155_00032,NC_021502_00131,NC_021502_00150	-	-	conjugative	AA018	0.06	AA104	0.025
cpe013_4	7836	0.4834099030117407	7fc674fa71484f18ff1b000ad34fa503	Enterobacteriaceae	543	ColRNAI_rep_cluster_1987	CP024554_00008	-	-	-	-	-	-	non-mobilizable	AA012	0.06	AA096	0.025
cpe014_contig_1	39050	0.4898591549295775	05aae4f95d23d3509cbde21d138ee775	Enterobacteriaceae	543	-	-	-	-	-	-	-	-	non-mobilizable	AA077	0.06	AA188	0.025
cpe014_contig_5	118060	0.5268507538539725	e369eb1d044351e8867c19437c5303b5	Enterobacteriaceae	543	IncFIB,IncFII	000097__NC_025166_00051,000129__CP018340	MOBF,MOBF	CP035180_00077,NC_021231_00058	MPF_F	NC_014312_00116,NC_014312_00118,NC_023332_00154,NC_019389_00068,NC_014312_00128,NC_022609_00081,NC_019389_00080,NC_021654_00016,NC_019165_00034,NC_019155_00032,NC_021502_00131,NC_021502_00150	-	-	conjugative	AA018	0.06	AA104	0.025
cpe015_contig_2	107259	0.5154905415862538	609a32344846c706d71cc98e03b5fbeb	Enterobacteriaceae	543	IncR	000204__CP008701_00115	-	-	-	-	-	-	non-mobilizable	AA027	0.06	AA122	0.025
cpe015_contig_3	57005	0.5287957196737129	f698a6bf6b33ecb98350184a36ea6626	Enterobacteriaceae	543	IncN	000152__NZ_CP011646_00085	MOBF	NC_015872_00034	MPF_T	NC_015872_00005,NC_015872_00006,NC_015872_00007,NC_015872_00010,NC_015872_00011,NC_015872_00033	-	-	conjugative	AA006	0.06	AA090	0.025
cpe015_contig_4	68393	0.4105683330165368	219dc4445d172059894cccd57da67e4c	Enterobacteriaceae	543	-	-	MOBF	CP045557_00143	-	-	-	-	mobilizable	AA074	0.06	AA185	0.025
cpe016_contig_2	141761	0.4249476231121394	9c3a89b893e1fb29a3bd7ff319fa3b49	Enterobacteriaceae	543	rep_cluster_639	002092__CU459140_00002	MOBP,MOBP,MOBP	NZ_CM001803_00063,NZ_AEOY01000096_00007,NZ_ALIG01000010_00048	-	-	-	-	mobilizable	AA067	0.06	AA178	0.025
cpe016_contig_4	13662	0.3473137168789342	f63a574f3f044f3f6190723487567970	Enterobacteriaceae	543	-	-	MOBQ	CP043310_00017	-	-	-	-	mobilizable	AA070	0.06	AA181	0.025
cpe016_contig_5	11376	0.3491561181434599	dbc54d6d2c0d0a859bd4fcc3ef6357ea	Enterobacteriaceae	543	rep_cluster_1172	000453__KU549174_00001	-	-	-	-	-	-	non-mobilizable	AA069	0.06	AA180	0.025
cpe017_2	9039	0.366854740568647	7cb77bea2d14534da75f90d250c2012c	Enterobacteriaceae	543	rep_cluster_1172	000453__KU549174_00001	MOBQ	LN865144_00010	-	-	-	-	mobilizable	AA069	0.06	AA180	0.025
cpe018_contig_2	156508	0.5383942034911954	d05895107d06191e1da6a839d133bb23	Enterobacteriaceae	543	IncFII,rep_cluster_2272	AJ851089,CP042519_00001	MOBC,MOBF,MOBP	NC_014725_00039,NC_021501_00073,NC_021819_00066	MPF_F	NC_006323_00113,NC_021501_00083,NC_021501_00084,NC_021501_00085,NC_006323_00105,NC_006323_00097,NC_006323_00096,NC_021501_00096,NC_021501_00097,NC_021501_00074,NC_009378_00101	-	-	conjugative	AA075	0.06	AA186	0.025
cpe018_contig_3	9956	0.5100441944556047	c1c968bdbd4e7568f23e913f49ec4b8e	Enterobacteriaceae	543	rep_cluster_2335	KU302809_00001	MOBP,MOBP	CP043517_00004,NC_017389_00004	-	-	MOBP	HQ328804	mobilizable	AA016	0.06	AA100	0.025
cpe018_contig_4	106824	0.5123474125664644	54bff4bd25b147f43e5f0f8c72ce9280	Enterobacteriaceae	543	IncFIB	000104__CP010386_00052	-	-	-	-	-	-	non-mobilizable	AA053	0.06	AA161	0.025
cpe020_2	167634	0.5207117887779329	a456dbf6e20d74b3e24f730b538378d4	Enterobacteriaceae	543	IncC	000092__CP025470	MOBH,MOBH	NC_012885_00072,NC_012690_00071	MPF_F	NC_009140_00071,NC_014170_00023,NC_012885_00083,NC_016974_00085,NC_012885_00091,NC_023291_00077,NC_012885_00167,NC_008612_00190,NC_012885_00088	MOBH	AB040037	conjugative	AA001	0.06	AA084	0.025
cpe020_3	115452	0.4911824827633995	1f9d0f77c4894b1dcd314930b7048474	Enterobacteriaceae	543	IncI-gamma/K1	MF344576	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	JN253636	conjugative	AA031	0.06	AA126	0.025
cpe020_4	107967	0.4966054442561153	ecef08af556785fd7596019b5dadf807	Enterobacteriaceae	543	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_019037_00043,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	AA039	0.06	AA143	0.025
cpe022_contig_2	303244	0.4672903668333091	90daeeaa418ebf6f2810645fab4f8099	Enterobacteriaceae	543	IncFIB,IncHI1B,rep_cluster_1254	CP024497_00001,JN420336,000562__KT346360_00001	MOBH	NC_016980_00239	MPF_F	NC_016980_00240,NC_018107_00101,NC_016980_00110,NC_016980_00109,NC_018107_00235,NC_023911_00309,NC_016980_00099	-	-	conjugative	AA042	0.06	AA146	0.025
cpe022_contig_3	79295	0.5250015763919541	fcae6c1c62b289eb08fd4b6857d71fea	Enterobacteriaceae	543	IncFII,rep_cluster_1418	MK649828_00114,000759__NC_013950_00034	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_021502_00150,NC_021502_00131	-	-	conjugative	AA019	0.06	AA106	0.025
cpe023_contig_2	148356	0.5172355684973982	240f6ca5637db0be35251f9ab153aad6	Enterobacteriaceae	543	IncFIA,IncFIB,IncFII	000136__AP014877_00014,000095__NZ_CP014273_00094,KF954760	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019000_00022,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_009837_00049,NC_013437_00116,08-5333_00200	-	-	conjugative	AA033	0.06	AA130	0.025
cpe023_contig_3	94192	0.4754331578053338	b00303bd44d06c26857cbbd69e075ec0	Enterobacteriaceae	543	rep_cluster_2164	CP041570_00007	-	-	-	-	-	-	non-mobilizable	AA046	0.06	AA154	0.025
