id	organism
OY754404.1	Escherichia coli
NZ_CP061283.1	Streptomyces xanthii
NZ_CP045614.1	Bacteroides xylanisolvens
NZ_CP134043.1	Klebsiella pneumoniae
NZ_CP117478.1	Citrobacter freundii
NZ_CP136259.1	Escherichia albertii
NZ_CP132471.1	Borreliella lusitaniae
NZ_CP082790.1	Staphylococcus aureus
NZ_CP031889.1	Staphylococcus aureus
NZ_CP055121.1	Lactiplantibacillus plantarum
NZ_CP077973.1	Pseudomonas aeruginosa
NZ_AP026378.1	Aeromonas caviae
NZ_ON556675.1	Escherichia coli
NZ_CP126773.1	Enterobacter hormaechei
CP134901.1	Escherichia coli
NZ_CP134687.1	Citrobacter portucalensis
OY726048.1	Phocaeicola massiliensis
OY725988.1	Phocaeicola massiliensis
OY725780.1	Parabacteroides distasonis
NZ_CP083556.1	Leisingera sp. S132
NZ_OM506551.1	Citrobacter freundii
NZ_CP059824.1	Enterococcus faecium
NZ_OQ534115.1	Escherichia coli
NZ_CP132962.1	Klebsiella pneumoniae
NZ_CP114793.1	Escherichia coli
NZ_CP039717.1	Salmonella enterica
NZ_CP075335.1	Lactiplantibacillus plantarum
NZ_CP043642.1	Leifsonia shinshuensis
NZ_CP102544.1	Lacticaseibacillus rhamnosus
LC777829.1	Parageobacillus thermoglucosidasius
NZ_CP132668.1	Klebsiella pneumoniae
NZ_CP039391.1	Enterobacter hormaechei
NZ_CP126146.1	Sagittula sp. MA-2
CP132325.1	Citrobacter freundii
NZ_CP075726.1	Escherichia coli
NZ_CP107186.1	Escherichia coli
NZ_CP130288.1	Bacillus cereus
NZ_CP130287.1	Bacillus cereus
NZ_MN657154.1	Sporosarcina sp.
NZ_CP126014.1	Bradyrhizobium japonicum
CP131102.1	Enterococcus faecium
NZ_CP067357.1	Clostridioides sp. ES-S-0173-01
NZ_CP101474.1	Staphylococcus equorum
NC_019329.1	Sulfitobacter sp. DFL14
NZ_CP040707.1	Enterococcus faecium
NZ_CP031950.1	Phaeobacter inhibens
NZ_CP100706.1	Salmonella enterica
NZ_CP100541.1	Escherichia coli
NZ_CP045091.1	Burkholderia glumae
NZ_CP130069.1	Shigella flexneri
NZ_MG764554.1	Enterobacter cloacae
NZ_KR936172.1	Enterococcus faecium
NZ_CP129854.1	Klebsiella pneumoniae
NZ_CP129825.1	Klebsiella pneumoniae
NZ_CP128918.1	Escherichia coli
NC_001537.1	Escherichia coli
NZ_AP027976.1	Escherichia coli
NZ_AP027956.1	Escherichia coli
NZ_CP103312.1	Mycobacterium ulcerans
NZ_AP022479.1	Escherichia coli
CP123657.1	Salmonella enterica
NZ_OW967803.1	Escherichia coli
NZ_CP110882.1	Enterobacter kobei
NZ_MG948334.1	Escherichia coli
NZ_KT988019.1	Escherichia coli
NZ_ON470184.1	Bacillus thuringiensis
NZ_CP046001.1	Escherichia coli
NZ_CP122453.1	Escherichia coli
NZ_CP090086.1	Bacillus cereus
NZ_CP091104.1	Lactococcus lactis
NZ_CP048396.1	Klebsiella pneumoniae
NZ_OW970497.1	Klebsiella pneumoniae
NZ_CP040399.1	Escherichia coli
NZ_CP009784.1	Yersinia pestis
NZ_CP097667.1	Klebsiella pneumoniae
NZ_CP034744.1	Escherichia coli
NZ_CP030116.1	Escherichia coli
NZ_CP020518.1	Escherichia coli
NZ_LT719075.1	Escherichia coli
NZ_CP021684.1	Escherichia coli
NZ_CP014668.1	Escherichia coli
NZ_AP014872.1	Bacillus thuringiensis
NZ_CP122680.1	Escherichia coli
NZ_CP096216.1	Enterococcus faecium
NZ_CP087612.1	Klebsiella pneumoniae
NZ_CP124370.1	Escherichia coli
NZ_CP048424.1	Rhizobium daejeonense
NZ_CP030863.1	Streptomyces globosus
NZ_CP072593.1	Enterococcus faecium
NZ_MT559990.1	Escherichia coli
NZ_MH457197.1	Actinobacillus pleuropneumoniae
NZ_KP742988.1	Salmonella enterica
NC_001787.1	Trueperella pyogenes
NZ_CP095124.1	Klebsiella pneumoniae
NZ_CP123218.1	Pseudomonas amygdali
NZ_CP089539.1	Spirosoma oryzicola
NZ_CP035937.1	Acinetobacter cumulans
NZ_CP122390.1	Klebsiella pneumoniae
NZ_CP036412.1	Komagataeibacter saccharivorans
NZ_CP043345.1	Klebsiella pneumoniae
CP099023.1	Escherichia coli
NZ_CP031099.1	Clostridium botulinum
NZ_CP115449.1	Clostridium tetani
AP024411.1	Staphylococcus argenteus
NZ_CP047547.1	Salmonella enterica
NZ_CP110513.1	Escherichia coli
NZ_CP092472.1	Qipengyuania spongiae
NZ_CP060971.1	Escherichia coli
NZ_CP092920.1	Pseudomonas syringae group genomosp. 7
NZ_CP043292.1	Escherichia coli
NZ_CP090509.1	Xylella fastidiosa
NZ_CP049254.1	Microbacterium amylolyticum
NZ_CP034117.1	Staphylococcus epidermidis
NZ_CP034027.1	Neisseria gonorrhoeae
NZ_CP022359.1	Shewanella bicestrii
NZ_CP011649.1	Enterobacter hormaechei
NC_017575.1	Ralstonia solanacearum Po82
NZ_CP065049.1	Mycobacterium kubicae
NZ_CP088227.1	Enterobacter hormaechei
NZ_CP078029.1	Acinetobacter variabilis
NZ_CP070513.1	Parageobacillus toebii
NZ_CP056127.1	Enterobacter asburiae
NZ_CP055677.1	Escherichia fergusonii
NZ_CP044353.1	Xylella fastidiosa
NZ_CP016859.1	Staphylococcus aureus
NZ_CP092684.1	Vibrio campbellii
NZ_CP015182.1	Bacillus thuringiensis
NZ_CP091429.1	Escherichia coli
NZ_CP092437.1	Rhizobium sp. K102
NZ_CP117120.1	Borrelia miyamotoi
NZ_CP048399.1	Streptomyces sp. S4.7
NZ_CP029339.1	Streptomyces sp. SM17
NC_012657.1	Clostridium botulinum Ba4 str. 657
NZ_CP054982.1	Shigella flexneri
NZ_CP076175.1	Bacillus anthracis
NC_017657.1	Escherichia coli O55:H7 str. RM12579
NZ_CP091891.1	Enterococcus faecalis
NC_015377.1	Burkholderia gladioli BSR3
NC_010724.1	Natranaerobius thermophilus JW/NM-WN-LF
NZ_OP378646.1	Klebsiella michiganensis
NZ_CP087108.1	Methylobacterium sp. NMS14P
NZ_OP242306.1	Escherichia coli
NZ_CP043906.1	Salmonella enterica
NZ_CP091649.1	Burkholderia aenigmatica
NZ_CP029931.1	Salmonella enterica
NZ_CP117027.1	Sphingomonas hankookensis
NZ_CP115932.1	Klebsiella pneumoniae
NZ_KU761327.1	Klebsiella pneumoniae
NZ_MT732184.1	Pseudomonas aeruginosa
NZ_MH213346.1	Escherichia coli
NZ_KY120363.1	Salmonella enterica
NZ_KU674895.1	Salmonella enterica
NZ_CP025235.1	Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1926
NZ_CP021461.1	Levilactobacillus brevis
NZ_CP020471.1	Fuscovulum blasticum
NZ_CP019367.1	Borrelia turicatae 91E135
NZ_CP017286.1	Klebsiella variicola
NZ_CP013600.1	Rhizobium sp. N741
NZ_CP015969.1	Lactiplantibacillus plantarum
NZ_CP013270.1	Sphingobium baderi
NZ_CP013325.1	Klebsiella pneumoniae
NZ_CP024376.2	Borrelia miyamotoi
NZ_CP115705.1	Klebsiella pneumoniae
NZ_CP066662.1	Enterococcus faecium
NZ_CP030243.1	Moraxella bovis
NZ_CP065703.1	Lactococcus lactis
LC744489.1	Escherichia coli
NZ_LR136959.1	Alteromonas sp. 76-1
NZ_AP018379.1	Neisseria gonorrhoeae
NZ_CP083040.1	Klebsiella pneumoniae
NZ_CP007745.1	Burkholderia cepacia ATCC 25416
NC_019939.1	Stutzerimonas stutzeri RCH2
NZ_CP011000.1	Sinorhizobium meliloti
NZ_LR215009.1	Mycoplasmopsis pulmonis
NZ_CP113086.1	Pantoea agglomerans
NZ_CP045618.1	Roseibium aggregatum
NZ_CP084862.1	Klebsiella pneumoniae
NZ_AP024757.1	Klebsiella pneumoniae
NZ_CP080454.1	Acinetobacter baumannii
NZ_CP077235.1	Acinetobacter pittii
NZ_MN548434.1	Raoultella ornithinolytica
NZ_CP068917.1	Klebsiella pneumoniae
NZ_CP061400.1	Klebsiella pneumoniae
